example_id                                               | status | run_time        |
./spec/requests/api/v1/leads_spec.rb[1:4:2:2]            | passed | 0.00441 seconds |
./spec/requests/api/v1/leads_spec.rb[1:4:2:3]            | passed | 0.00461 seconds |
./spec/requests/api/v1/leads_spec.rb[1:5:1]              | passed | 0.00705 seconds |
./spec/requests/api/v1/leads_spec.rb[1:5:2]              | passed | 0.0045 seconds  |
./spec/requests/api/v1/leads_spec.rb[1:6:1]              | passed | 0.00498 seconds |
./spec/requests/api/v1/leads_spec.rb[1:6:2]              | passed | 0.00424 seconds |
./spec/services/lead_creator_spec.rb[1:1:1]              | passed | 0.00692 seconds |
./spec/services/lead_creator_spec.rb[1:1:2]              | passed | 0.00216 seconds |
./spec/services/lead_creator_spec.rb[1:1:3]              | passed | 0.00261 seconds |
./spec/services/lead_creator_spec.rb[1:1:4]              | passed | 0.0017 seconds  |
./spec/services/lead_creator_spec.rb[1:2:1]              | passed | 0.00709 seconds |
./spec/services/lead_creator_spec.rb[1:2:2]              | passed | 0.25134 seconds |
./spec/services/lead_notification_service_spec.rb[1:1:1] | failed | 0.0016 seconds  |
./spec/services/lead_notification_service_spec.rb[1:2:1] | failed | 0.2204 seconds  |
./spec/services/lead_statistics_spec.rb[1:1:1]           | passed | 0.01095 seconds |
./spec/services/lead_statistics_spec.rb[1:1:2]           | passed | 0.00148 seconds |
./spec/services/lead_statistics_spec.rb[1:2:1]           | passed | 0.01679 seconds |
./spec/services/lead_statistics_spec.rb[1:2:2]           | passed | 0.00542 seconds |
./spec/services/lead_statistics_spec.rb[1:3:1]           | passed | 0.005 seconds   |
./spec/system/leads_form_debug_spec.rb[1:1]              | failed | 6.58 seconds    |
./spec/system/leads_spec.rb[1:1:1]                       | failed | 0.00912 seconds |
./spec/system/leads_spec.rb[1:1:2]                       | failed | 0.30982 seconds |
./spec/system/leads_spec.rb[1:2:1]                       | passed | 0.01909 seconds |
